https://www.pasteur.fr/sites/default/files/veng_0.pdf

    Kingabwa 43 y 1,5
    Kingston 1,4,[5],12,[27] g,s,t [1,2] [z43]
    Kinondoni 17 a e,n,x
    Kinson 1,3,19 y e,n,x
    Kintambo 1,13,23 m,t –
    Kirkee 17 b 1,2
    Kisangani 1,4,[5],12 a 1,2
    Kisarawe 11 k e,n,x,[z15]
    Kisii 6,7 d 1,2
    Kitenge 28 y e,n,x
    Kivu 6,7 d 1,6
    Klouto 38 z38 –
    Koblenz 16 l,z13,z28 e,n,x
    Kodjovi 47 c 1,6 [z78]
    Koenigstuhl 1,4,[5],12 z e,n,z15
    Koessen 2,12 l,v 1,5
    Kofandoka 45 r e,n,z15
    Koketime 44 z38 –
    Kokoli 30 z35 1,6
    Kokomlemle 39 l,v e,n,x
    Kolar 9,46 b z35
    Kolda 8,20 z35 1,2
    Konolfingen 28 z35 1,6
    Konongo 41 r 1,7
    Konstanz 8 b e,n,x
    Korbol 8,20 b 1,5
    Korkeasaari 28 e,h 1,5
    Korlebu 1,3,19 z 1,5
    Korovi 38 g,m,[s] –
    Kortrijk 6,7 l,v 1,7
    Kottbus 6,8 e,h 1,5
    Kotte 6,7 b z35
    Kotu 9,12 l,z28 1,6
    Kouka 1,3,19 g,m,[t] –
    Koumra 6,7 b 1,7
    Kpeme 28 e,h 1,7
    Kralingen 8,20 y z6
    Krefeld 1,3,19 y l,w
    Kristianstad 3,10 z10 e,n,z15
    132/166
    Kua 44 z4,z23 –
    Kubacha 1,4,12,27 l,z13,z28 1,7
    Kuessel 28 i e,n,z15
    Kumasi 30 z10 e,n,z15
